Wavelength (nm), scalar, vector, tensor
409.8,-693.1077591704961,6053.409201898509,-2461.7788657406854
409.9,-738.8527694713556,5999.306120441861,-2452.7361149388134
410.0,-784.1540491298688,5948.194526625904,-2444.96729628417
410.1,-829.0745909677656,5899.936574878427,-2438.4380749082898
410.2,-873.6745640145498,5854.405045433812,-2433.1182754191086
410.3,-918.0116526668028,5811.482443507294,-2428.981621767764
410.4,-962.1413669525812,5771.060192929099,-2426.005511691529
410.5,-1006.1173278282494,5733.037913077939,-2424.17082228912
410.6,-1049.9915309573864,5697.3227694430025,-2423.4617438096566
410.7,-1093.8145920198701,5663.8288894125035,-2423.8656391908507
410.8,-1137.6359762625868,5632.476835970391,-2425.37292727872
410.9,-1181.5042147179213,5603.193132913146,-2427.976988010291
411.0,-1225.4671092824458,5575.909835994131,-2431.674088150498
411.1,-1269.5719286489282,5550.564145091589,-2436.4633264529734
411.2,-1313.86559692659,5527.09805308638,-2442.346597367236
411.3,-1358.3948766534763,5505.458027647758,-2449.3285726477793
411.4,-1403.2065478019713,5485.5947225686305,-2457.4167004383244
411.5,-1448.3475843042206,5467.4627156732395,-2466.6212216120753
411.6,-1493.8653295668728,5451.02027065496,-2476.955203348667
411.7,-1539.8076724164573,5436.2291204881085,-2488.434590126964
411.8,-1586.223224902648,5423.054270309052,-2501.0782725104023
411.9,-1633.1615033973694,5411.463817877657,-2514.908174304856
412.0,-1680.673114457283,5401.428789917241,-2529.949358879567
412.1,-1728.809946967558,5392.922992791586,-2546.230155664529
412.2,-1777.6253721567282,5385.922876115174,-2563.7823080763674
412.3,-1827.1744531690058,5380.407408008029,-2582.641144384502
412.4,-1877.514165998564,5376.357960803464,-2602.84577331361
412.5,-1928.7036337418492,5373.758206093983,-2624.4393064960063
412.6,-1980.804376298437,5372.594018061655,-2647.4691102400498
412.7,-2033.8805778677404,5372.853384081816,-2671.987089481405
412.8,-2087.9993748393667,5374.526321615192,-2698.050007236648
412.9,-2143.2311669733594,5377.604800411959,-2725.71984339663
413.0,-2199.649955117041,5382.082669041035,-2755.064197291648
413.1,-2257.333709115077,5387.955584728059,-2786.1567391451763
413.2,-2316.3647700514293,5395.220945433274,-2819.077716326544
413.3,-2376.8302915292606,5403.877823024172,-2853.9145212364188
413.4,-2438.8227253553737,5413.926896292583,-2890.762328733413
413.5,-2502.4403577814437,5425.370382427853,-2929.724812273036
413.6,-2567.787903371914,5438.211965381461,-2970.914949410105
413.7,-2634.977164658979,5452.456719335942,-3014.4559290643774
413.8,-2704.127767031308,5468.111025212472,-3060.482175015907
413.9,-2775.3679798350263,5485.182477807824,-3109.1405025536505
414.0,-2848.8356364875117,5503.6797807248495,-3160.5914281276805
414.1,-2924.679168582025,5523.6126257353635,-3215.010655356808
414.2,-3003.0587715754873,5544.991552566778,-3272.5907649492838
414.3,-3084.1477227942664,5567.827784304028,-3333.543141162242
414.4,-3168.1338762923506,5592.133032610319,-3398.100173559768
414.5,-3255.2213637081663,5617.919265747769,-3466.5177802871535
414.6,-3345.6325358793333,5645.1984308591545,-3539.0783081765385
414.7,-3439.6101868538285,5673.982120081981,-3616.0938761611433
414.8,-3537.4201103878213,5704.281167701715,-3697.9102422207993
414.9,-3639.354049469777,5736.105162586236,-3784.911291101461
415.0,-3745.7331123940276,5769.4618564080765,-3877.5242612349048
415.1,-3856.911745119512,5804.356443432688,-3976.2258557854193
415.2,-3973.282370028879,5840.790681638299,-4081.5494161084353
415.3,-4095.2808269509223,5878.761817242335,-4194.093378126884
415.4,-4223.392785078711,5918.261264823198,-4314.531285935117
415.5,-4358.161336377002,5959.27298243357,-4443.623705941747
415.6,-4500.196035206039,6001.771464445186,-4582.232473996904
415.7,-4650.183719252063,6045.719253026376,-4731.337823951995
415.8,-4808.90153904577,6091.0638403067305,-4892.059098271995
415.9,-4977.2327451806195,6137.733794877457,-5065.679942636454
416.0,-5156.185944811248,6185.633894708418,-5253.67915520728
416.1,-5346.918757767253,6234.638978685227,-5457.768723438965
416.2,-5550.76710025441,6284.586133355376,-5679.941074530437
416.3,-5769.281733557414,6335.2646992431,-5922.52824467068
416.4,-6004.274285201415,6386.403396138879,-6188.276618309708
416.5,-6257.875753888996,6437.653604840973,-6480.442223700218
416.6,-6532.611658988327,6488.567466887104,-6802.913481028326
416.7,-6831.499663900261,6538.568916291881,-7160.371073536723
416.8,-7158.177964691831,6586.914947057136,-7558.4987072390095
416.9,-7517.076433916615,6632.643200011726,-8004.264679073904
417.0,-7913.648175675682,6674.500079183899,-8506.303604782093
417.1,-8354.688018343775,6710.840669854906,-9075.442426949649
417.2,-8848.778695185087,6739.4870121601825,-9725.438511852673
417.3,-9406.928889313382,6757.523503663688,-10474.036665112044
417.4,-10043.507077566574,6760.994986674074,-11344.518132025232
417.5,-10777.644913874537,6744.449851026795,-12368.03095735072
417.6,-11635.411296245196,6700.2280697804745,-13587.203375481447
417.7,-12653.301403799847,6617.313106550459,-15061.947084878624
417.8,-13884.07382231559,6479.403776180457,-16879.171912006703
417.9,-15407.014153822573,6261.513825617878,-19169.875410975612
418.0,-17347.11095296351,5923.60466171558,-22141.083244730256
418.1,-19913.70582786089,5397.731504793007,-26140.242706929275
418.2,-23486.401641281176,4559.442786759722,-31798.375051459916
418.3,-28832.916289551005,3155.205079474349,-40393.13128467897
418.4,-37776.701480806674,579.9156067318103,-54961.44898744814
418.5,-55966.07315420921,-5046.077457986746,-84914.71932895803
418.6,-113980.52089696914,-23912.332861819534,-181215.90736827714
418.7,1.0596901848975848e6,367822.07896085863,1.775322013089191e6
418.8,87247.15707153459,44229.08613229588,155038.09606379078
418.9,43423.08702650685,30225.334835807316,82491.37083907827
419.0,27774.924090127428,25669.945995885493,56948.79635151293
419.1,19639.194446651698,23683.208608887664,43977.65969249411
419.2,14575.691820578037,22794.807199646133,36185.32155593476
419.3,11055.890908121723,22507.062358882224,31033.58288684377
419.4,8410.033026617846,22611.20900558047,27417.621267637656
419.5,6295.814884658094,23011.08391843124,24781.096896743988
419.6,4517.3518634039765,23663.871918352263,22815.286640664737
419.7,2951.3886206856237,24557.043756336567,21337.313043196293
419.8,1512.9186785175748,25699.097429134246,20234.58163152735
419.9,137.15266610148134,27116.78096056688,19437.28065022297
420.0,-1231.2926835520389,28856.366154811618,18904.21332198223
420.1,-2646.1984691393304,30988.63432768913,18615.78106345072
420.2,-4166.999060315123,33618.689891004986,18571.547983287735
420.3,-5867.632654498019,36903.58205864465,18791.730925421587
420.4,-7849.96688608589,41084.22560296916,19323.557110078593
420.5,-10267.499800392261,46546.00948885288,20255.848534812107
420.6,-13372.411966781505,53942.49032688862,21750.636651529345
420.7,-17620.512715678193,64474.001315028116,24115.82383433792
420.8,-23941.10600825084,80606.40176113138,27993.85810240862
420.9,-34584.37439957301,108330.11730782011,34955.87510839482
421.0,-56792.2369590796,166948.61300643574,50077.35875211156
421.1,-133991.49508142498,372259.7539728523,103827.78267084775
421.2,559879.6692474984,-1.4785738076414515e6,-383489.9590107765
421.3,96810.42143510604,-244194.78576566238,-58889.70345483486
421.4,54627.382717827255,-132145.04782236795,-29621.523642354146
421.5,38730.796778641656,-90162.18873960803,-18776.158210630674
421.6,30349.766009399893,-68193.59727074066,-13183.504136656005
421.7,25152.521969288227,-54690.59298045459,-9805.854056273625
421.8,21601.62403108305,-45555.6891620998,-7566.158352248206
421.9,19013.4543762781,-38967.96691825925,-5986.309950532298
422.0,17037.624547868174,-33994.87025855713,-4821.850538999389
422.1,15475.900914940634,-30109.377172532488,-3934.929520116686
422.2,14207.641891557523,-26991.195812148162,-3242.0031297854193
422.3,13155.176594259688,-24434.466152369092,-2689.5586663580484
422.4,12266.207932789925,-22300.856064852127,-2241.7824698129857
422.5,11504.21233915221,-20493.978435401936,-1873.8369481464008
422.6,10842.894414263752,-18944.618667028437,-1567.9810017726022
422.7,10262.829327600297,-17601.793941455682,-1311.2239316698012
